INFO:2023-03-08 12:52:03,109: Epoch [3/250], Step [300/2474], Mel Loss: 0.72277, Adv Loss: 0.68985, Disc Loss: 1.36867, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 12:53:25,988: Epoch [3/250], Step [350/2474], Mel Loss: 0.72644, Adv Loss: 0.70557, Disc Loss: 1.36985, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 12:54:47,138: Epoch [3/250], Step [400/2474], Mel Loss: 0.71582, Adv Loss: 0.67314, Disc Loss: 1.36864, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 12:56:06,761: Epoch [3/250], Step [450/2474], Mel Loss: 0.72327, Adv Loss: 0.73904, Disc Loss: 1.37483, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 12:57:27,947: Epoch [3/250], Step [500/2474], Mel Loss: 0.71995, Adv Loss: 0.67238, Disc Loss: 1.38059, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 12:58:48,647: Epoch [3/250], Step [550/2474], Mel Loss: 0.72945, Adv Loss: 0.67197, Disc Loss: 1.37994, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 13:00:10,618: Epoch [3/250], Step [600/2474], Mel Loss: 0.72128, Adv Loss: 0.71701, Disc Loss: 1.37605, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 13:01:32,544: Epoch [3/250], Step [650/2474], Mel Loss: 0.72102, Adv Loss: 0.69180, Disc Loss: 1.38428, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 13:02:52,629: Epoch [3/250], Step [700/2474], Mel Loss: 0.72313, Adv Loss: 0.75085, Disc Loss: 1.36847, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 13:04:14,407: Epoch [3/250], Step [750/2474], Mel Loss: 0.71580, Adv Loss: 0.68053, Disc Loss: 1.37751, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 13:05:36,529: Epoch [3/250], Step [800/2474], Mel Loss: 0.70957, Adv Loss: 0.72779, Disc Loss: 1.37618, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 13:07:00,923: Epoch [3/250], Step [850/2474], Mel Loss: 0.71893, Adv Loss: 0.67441, Disc Loss: 1.37512, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 13:08:21,823: Epoch [3/250], Step [900/2474], Mel Loss: 0.71611, Adv Loss: 0.73517, Disc Loss: 1.37213, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 13:09:45,250: Epoch [3/250], Step [950/2474], Mel Loss: 0.71119, Adv Loss: 0.69901, Disc Loss: 1.37428, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 13:11:08,149: Epoch [3/250], Step [1000/2474], Mel Loss: 0.71412, Adv Loss: 0.61216, Disc Loss: 1.38452, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 13:12:28,881: Epoch [3/250], Step [1050/2474], Mel Loss: 0.71396, Adv Loss: 0.63542, Disc Loss: 1.38443, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 13:13:49,576: Epoch [3/250], Step [1100/2474], Mel Loss: 0.71543, Adv Loss: 0.59891, Disc Loss: 1.37071, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 13:15:12,787: Epoch [3/250], Step [1150/2474], Mel Loss: 0.71039, Adv Loss: 0.69501, Disc Loss: 1.37565, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 13:16:34,910: Epoch [3/250], Step [1200/2474], Mel Loss: 0.70994, Adv Loss: 0.80869, Disc Loss: 1.38672, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 13:17:56,300: Epoch [3/250], Step [1250/2474], Mel Loss: 0.69973, Adv Loss: 0.71815, Disc Loss: 1.38073, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 13:19:18,125: Epoch [3/250], Step [1300/2474], Mel Loss: 0.70100, Adv Loss: 0.61096, Disc Loss: 1.37170, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 13:20:39,910: Epoch [3/250], Step [1350/2474], Mel Loss: 0.71034, Adv Loss: 0.71265, Disc Loss: 1.37989, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 13:22:01,353: Epoch [3/250], Step [1400/2474], Mel Loss: 0.70669, Adv Loss: 0.65044, Disc Loss: 1.37320, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 13:23:21,758: Epoch [3/250], Step [1450/2474], Mel Loss: 0.70445, Adv Loss: 0.68236, Disc Loss: 1.37692, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 13:24:44,445: Epoch [3/250], Step [1500/2474], Mel Loss: 0.70200, Adv Loss: 0.79488, Disc Loss: 1.37273, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 13:26:05,206: Epoch [3/250], Step [1550/2474], Mel Loss: 0.70299, Adv Loss: 0.72947, Disc Loss: 1.37954, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 13:27:25,447: Epoch [3/250], Step [1600/2474], Mel Loss: 0.70703, Adv Loss: 0.68608, Disc Loss: 1.37657, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 13:28:46,620: Epoch [3/250], Step [1650/2474], Mel Loss: 0.69968, Adv Loss: 0.60922, Disc Loss: 1.37440, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 13:30:07,086: Epoch [3/250], Step [1700/2474], Mel Loss: 0.70126, Adv Loss: 0.71068, Disc Loss: 1.37873, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 13:31:28,316: Epoch [3/250], Step [1750/2474], Mel Loss: 0.70368, Adv Loss: 0.63950, Disc Loss: 1.38442, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 13:32:50,776: Epoch [3/250], Step [1800/2474], Mel Loss: 0.70276, Adv Loss: 0.70423, Disc Loss: 1.38619, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 13:34:10,297: Epoch [3/250], Step [1850/2474], Mel Loss: 0.69603, Adv Loss: 0.78906, Disc Loss: 1.36688, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 13:35:31,045: Epoch [3/250], Step [1900/2474], Mel Loss: 0.70237, Adv Loss: 0.65520, Disc Loss: 1.37366, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 13:36:55,776: Epoch [3/250], Step [1950/2474], Mel Loss: 0.69278, Adv Loss: 0.69041, Disc Loss: 1.37772, Mono Loss: 0.00000, S2S Loss: 0.00000
